name,price,image,description
Product 1,50,https://picsum.photos/seed/p1/300/300,"High-quality product with modern design."
Product 2,60,https://picsum.photos/seed/p2/300/300,"Durable and reliable for everyday use."
Product 3,70,https://picsum.photos/seed/p3/300/300,"Premium build with stylish finish."
Product 4,80,https://picsum.photos/seed/p4/300/300,"Comfortable and lightweight design."
Product 5,90,https://picsum.photos/seed/p5/300/300,"Perfect for casual and professional use."
Product 6,55,https://picsum.photos/seed/p6/300/300,"Affordable and efficient product."
Product 7,65,https://picsum.photos/seed/p7/300/300,"High performance with sleek look."
Product 8,75,https://picsum.photos/seed/p8/300/300,"Engineered for durability and comfort."
Product 9,85,https://picsum.photos/seed/p9/300/300,"Top-notch quality with elegant design."
Product 10,95,https://picsum.photos/seed/p10/300/300,"Versatile and easy to use product."
Product 11,52,https://picsum.photos/seed/p11/300/300,"Compact design with powerful features."
Product 12,62,https://picsum.photos/seed/p12/300/300,"Reliable and long-lasting performance."
Product 13,72,https://picsum.photos/seed/p13/300/300,"Stylish product with great usability."
Product 14,82,https://picsum.photos/seed/p14/300/300,"Modern aesthetics with solid build."
Product 15,92,https://picsum.photos/seed/p15/300/300,"Designed for maximum efficiency."
Product 16,58,https://picsum.photos/seed/p16/300/300,"User-friendly and durable."
Product 17,68,https://picsum.photos/seed/p17/300/300,"Elegant design with premium feel."
Product 18,78,https://picsum.photos/seed/p18/300/300,"High-quality materials and finish."
Product 19,88,https://picsum.photos/seed/p19/300/300,"Optimized for daily performance."
Product 20,98,https://picsum.photos/seed/p20/300/300,"Best-in-class design and usability."
Product 21,54,https://picsum.photos/seed/p21/300/300,"Compact yet powerful product."
Product 22,64,https://picsum.photos/seed/p22/300/300,"Reliable option for all users."
Product 23,74,https://picsum.photos/seed/p23/300/300,"Sleek design with great comfort."
Product 24,84,https://picsum.photos/seed/p24/300/300,"Durable and stylish everyday product."
Product 25,94,https://picsum.photos/seed/p25/300/300,"Premium product with excellent performance."
